English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
INSECTBITES,NATRUM MURIATICUM 3X  MIX IN WATER AND GIVE. ,,,NATRUM MURIATICUM 3X  MIX IN WATER AND GIVE. ,Insect bites,Natrum Muriaticum 3X  Mix In Water And Give. ,Natrum Muriaticum 3X Mix In Water And Give.
INSOMNIA,,,,To adults - Take  as appropriate  5 granules at bedtime.  Insomnia after feeling of fear - Aconit 9CH.  During menstruation - Actea Racemosa 7CH.  Anxious agitation- Arsenicum Album 9CH.   By frightening visions - Belladonna 7CH.  Intestinal worms- Cina 5CH.  A great sorrow- Gelsemium sempervirens 9 CH. Nightmares - one dose of Stramonium 15 CH. Fear of death - Aconitum napellus 9 CHIn the mountains- Coca 7CH.  Following long nights Cocculus indicus 7CH. Woken up by small worries - Ambra grisea 9 CHBy abundance of ideas - Coffea 7CH.  Very agitated sleep  Causticum 9CH before falling asleep. After an excess of coffee- Coffea 9CH.  After bad news - Gelsemium 15CH.  After annoyance - Ignatia 9CH.  After intellectual overwork - Kalium Phosphoricum 9CH.  Because of digestive cramps - Nux Vomica 5CH before meals.  After an alcohol or food excess - Nux Vomica 7CH.  By physical exhaustion - Rhus Toxicodendron 9CH ou Kalium phosphoricum 9 CH.  By black fear - Stramonium 7CH.  By intolerance to the slightest noise- Theridion 9CH.  With annoyed legs - Zincum Metallicum 9CH. ,Insomnia,To Adults - Take  As Appropriate  5 Granules At Bedtime.  Insomnia After Feeling Of Fear - Aconit 9Ch.  During Menstruation - Actea Racemosa 7Ch.  Anxious Agitation- Arsenicum Album 9Ch.   By Frightening Visions - Belladonna 7Ch.  Intestinal Worms- Cina 5Ch.  A Great Sorrow- Gelsemium Sempervirens 9 Ch. Nightmares - One Dose Of Stramonium 15 Ch. Fear Of Death - Aconitum Napellus 9 Chin The Mountains- Coca 7Ch.  Following Long Nights Cocculus Indicus 7Ch. Woken Up By Small Worries - Ambra Grisea 9 Chby Abundance Of Ideas - Coffea 7Ch.  Very Agitated Sleep  Causticum 9Ch Before Falling Asleep. After An Excess Of Coffee- Coffea 9Ch.  After Bad News - Gelsemium 15Ch.  After Annoyance - Ignatia 9Ch.  After Intellectual Overwork - Kalium Phosphoricum 9Ch.  Because Of Digestive Cramps - Nux Vomica 5Ch Before Meals.  After An Alcohol Or Food Excess - Nux Vomica 7Ch.  By Physical Exhaustion - Rhus Toxicodendron 9Ch Ou Kalium Phosphoricum 9 Ch.  By Black Fear - Stramonium 7Ch.  By Intolerance To The Slightest Noise- Theridion 9Ch.  With Annoyed Legs - Zincum Metallicum 9Ch. ,To Adults - Take As Appropriate 5 Granules At Bedtime. Insomnia After Feeling Of Fear - Aconit 9Ch. During Menstruation - Actea Racemosa 7Ch. Anxious Agitation- Arsenicum Album 9Ch. By Frightening Visions - Belladonna 7Ch. Intestinal Worms- Cina 5Ch. A Great Sorrow- Gelsemium Sempervirens 9 Ch. Nightmares - One Dose Of Stramonium 15 Ch. Fear Of Death - Aconitum Napellus 9 Chin The Mountains- Coca 7Ch. Following Long Nights Cocculus Indicus 7Ch. Woken Up By Small Worries - Ambra Grisea 9 Chby Abundance Of Ideas - Coffea 7Ch. Very Agitated Sleep Causticum 9Ch Before Falling Asleep. After An Excess Of Coffee- Coffea 9Ch. After Bad News - Gelsemium 15Ch. After Annoyance - Ignatia 9Ch. After Intellectual Overwork - Kalium Phosphoricum 9Ch. Because Of Digestive Cramps - Nux Vomica 5Ch Before Meals. After An Alcohol Or Food Excess - Nux Vomica 7Ch. By Physical Exhaustion - Rhus Toxicodendron 9Ch Ou Kalium Phosphoricum 9 Ch. By Black Fear - Stramonium 7Ch. By Intolerance To The Slightest Noise- Theridion 9Ch. With Annoyed Legs - Zincum Metallicum 9Ch.
INSOMNIA OF CHILDREN,,,,"For a baby that easily wakes up at night because of small noises ,  it is recommended the administration of 3 granules of  Sulfur 7 CH.  In case the baby has nightmares ,  you can give him a dose of Stramonium 7 CH just before going to sleep.  In case he is agitated and cries ,  you will have to give him 3 granules of Jalapa 7 CH ,  before he goes to sleep.  In case the baby needs feeding for falling asleep ,  3 granules of Chamomilla vulgaris 7 CH are reccomended.  For infants with difficulties to fall asleep ,  you can alternate two remedies (1 per day) - Chamomilla vulgaris 7 CH and Cypripedium Pubescens 7 CH. ",Insomnia Of Children,"For A Baby That Easily Wakes Up At Night Because Of Small Noises ,  It Is Recommended The Administration Of 3 Granules Of  Sulfur 7 Ch.  In Case The Baby Has Nightmares ,  You Can Give Him A Dose Of Stramonium 7 Ch Just Before Going To Sleep.  In Case He Is Agitated And Cries ,  You Will Have To Give Him 3 Granules Of Jalapa 7 Ch ,  Before He Goes To Sleep.  In Case The Baby Needs Feeding For Falling Asleep ,  3 Granules Of Chamomilla Vulgaris 7 Ch Are Reccomended.  For Infants With Difficulties To Fall Asleep ,  You Can Alternate Two Remedies (1 Per Day) - Chamomilla Vulgaris 7 Ch And Cypripedium Pubescens 7 Ch. ","For A Baby That Easily Wakes Up At Night Because Of Small Noises , It Is Recommended The Administration Of 3 Granules Of Sulfur 7 Ch. In Case The Baby Has Nightmares , You Can Give Him A Dose Of Stramonium 7 Ch Just Before Going To Sleep. In Case He Is Agitated And Cries , You Will Have To Give Him 3 Granules Of Jalapa 7 Ch , Before He Goes To Sleep. In Case The Baby Needs Feeding For Falling Asleep , 3 Granules Of Chamomilla Vulgaris 7 Ch Are Reccomended. For Infants With Difficulties To Fall Asleep , You Can Alternate Two Remedies (1 Per Day) - Chamomilla Vulgaris 7 Ch And Cypripedium Pubescens 7 Ch."
INTELLECTUAL EXHAUSTION,,,,In case of memory decline observed after intellectual efforts  often accompanied by behavioral problems and a concentrating difficulty  you can take 3 granules of Phosphoric acid 5 CH  to suck two times a day.  If the memory decline is characterized by an incapacity for intellectual effort and by forgetting recent facts  you can take two times per week 3 granules of one of the following remedies  each medication time- Kalium brom 9 CH  Kalium phos 9 CH  Lycopodium 9 CH or Anacardium 9 CH. ,Intellectual Exhaustion,In Case Of Memory Decline Observed After Intellectual Efforts  Often Accompanied By Behavioral Problems And A Concentrating Difficulty  You Can Take 3 Granules Of Phosphoric Acid 5 Ch  To Suck Two Times A Day.  If The Memory Decline Is Characterized By An Incapacity For Intellectual Effort And By Forgetting Recent Facts  You Can Take Two Times Per Week 3 Granules Of One Of The Following Remedies  Each Medication Time- Kalium Brom 9 Ch  Kalium Phos 9 Ch  Lycopodium 9 Ch Or Anacardium 9 Ch. ,In Case Of Memory Decline Observed After Intellectual Efforts Often Accompanied By Behavioral Problems And A Concentrating Difficulty You Can Take 3 Granules Of Phosphoric Acid 5 Ch To Suck Two Times A Day. If The Memory Decline Is Characterized By An Incapacity For Intellectual Effort And By Forgetting Recent Facts You Can Take Two Times Per Week 3 Granules Of One Of The Following Remedies Each Medication Time- Kalium Brom 9 Ch Kalium Phos 9 Ch Lycopodium 9 Ch Or Anacardium 9 Ch.
INTELLECTUAL OVERWORK,,,,When tiredness is manifested by symptoms of brain overwork  such as stress  anxiety and depression  it is often indicated to take a daily dose of Phosphoricum acidium or of Kalium phosphoricum of 9 to 15 CH.  In case the tiredness is accompanied by a decrease of libido and by a desire of resorting to psychotropic drugs  one dose of Selenium 7 CH is recommended one time per day. In case of brain tiredness characterized by erectile dysfunctions  it is prescribed to complete the treatment by one or two daily medications of Agnus castus 9 CH. ,Intellectual Overwork,When Tiredness Is Manifested By Symptoms Of Brain Overwork  Such As Stress  Anxiety And Depression  It Is Often Indicated To Take A Daily Dose Of Phosphoricum Acidium Or Of Kalium Phosphoricum Of 9 To 15 Ch.  In Case The Tiredness Is Accompanied By A Decrease Of Libido And By A Desire Of Resorting To Psychotropic Drugs  One Dose Of Selenium 7 Ch Is Recommended One Time Per Day. In Case Of Brain Tiredness Characterized By Erectile Dysfunctions  It Is Prescribed To Complete The Treatment By One Or Two Daily Medications Of Agnus Castus 9 Ch. ,When Tiredness Is Manifested By Symptoms Of Brain Overwork Such As Stress Anxiety And Depression It Is Often Indicated To Take A Daily Dose Of Phosphoricum Acidium Or Of Kalium Phosphoricum Of 9 To 15 Ch. In Case The Tiredness Is Accompanied By A Decrease Of Libido And By A Desire Of Resorting To Psychotropic Drugs One Dose Of Selenium 7 Ch Is Recommended One Time Per Day. In Case Of Brain Tiredness Characterized By Erectile Dysfunctions It Is Prescribed To Complete The Treatment By One Or Two Daily Medications Of Agnus Castus 9 Ch.
INTESTINAL WORMS,,,,"5 granules of CINA 9CH ,  3 times per day during 10 days",Intestinal Worms,"5 Granules Of Cina 9Ch ,  3 Times Per Day During 10 Days","5 Granules Of Cina 9Ch , 3 Times Per Day During 10 Days"
INTOLERANCE TO MILK,,,,"Cuprum Metallicum 5 CH + Aethusa Cynapium 5 CH. <br/> 2 granules ,  3 times per day ,  until symptoms dissapear. ",Intolerance To Milk,"Cuprum Metallicum 5 Ch + Aethusa Cynapium 5 Ch. <Br/> 2 Granules ,  3 Times Per Day ,  Until Symptoms Dissapear. ","Cuprum Metallicum 5 Ch + Aethusa Cynapium 5 Ch. <Br/> 2 Granules , 3 Times Per Day , Until Symptoms Dissapear."
INVOLUNTARY MOVEMENTS,,,,Motor tics mainly manifest by unconscious movements.  Thus  the most used remedies are Lycopodium  China et Zincum.  If tics are characterized by to and fro head movements  it can be prescribed Sepia.  In case of worsening due to anxiety  a treatment based on Gelsium is recommended.  Finally  when the tic is accompanied by a hysterical crisis  it can be relieved with doses of Staphysagria. ,Involuntary Movements,Motor Tics Mainly Manifest By Unconscious Movements.  Thus  The Most Used Remedies Are Lycopodium  China Et Zincum.  If Tics Are Characterized By To And Fro Head Movements  It Can Be Prescribed Sepia.  In Case Of Worsening Due To Anxiety  A Treatment Based On Gelsium Is Recommended.  Finally  When The Tic Is Accompanied By A Hysterical Crisis  It Can Be Relieved With Doses Of Staphysagria. ,Motor Tics Mainly Manifest By Unconscious Movements. Thus The Most Used Remedies Are Lycopodium China Et Zincum. If Tics Are Characterized By To And Fro Head Movements It Can Be Prescribed Sepia. In Case Of Worsening Due To Anxiety A Treatment Based On Gelsium Is Recommended. Finally When The Tic Is Accompanied By A Hysterical Crisis It Can Be Relieved With Doses Of Staphysagria.
IRRITABILITY AND EXCITEMENT,,,,For calming down nerves and an agressive irritability  it is recommended to take 5 granules of Nux Vomica 15 or 30 CH according to the crisis intensity.  During the first days when the signs of irritability are very severe  the medicines must be taken at least 3 times per day and may be spaced as soon as an improvement is felt. This remedy is particularly effective for subjects intending to stop consuming coffee  tobacco or alcohol.  For calming the mood swings and irritability  5 granules of Actea Racemosa 5 to 15 CH or of Ignatia 9 to 15 CH can be taken alternatively or separately depending on the patients choice.  In the event of aggression resulting in excitement and behavior disorders  take 5 granules of Chamomilla Vulgaris 15 CH during 15 days.  In case the state does not improve  the treatment is to be continued with 5 granules of Chamomilla Vulgaris  1 day of 2 during one month. ,Irritability And Excitement,For Calming Down Nerves And An Agressive Irritability  It Is Recommended To Take 5 Granules Of Nux Vomica 15 Or 30 Ch According To The Crisis Intensity.  During The First Days When The Signs Of Irritability Are Very Severe  The Medicines Must Be Taken At Least 3 Times Per Day And May Be Spaced As Soon As An Improvement Is Felt. This Remedy Is Particularly Effective For Subjects Intending To Stop Consuming Coffee  Tobacco Or Alcohol.  For Calming The Mood Swings And Irritability  5 Granules Of Actea Racemosa 5 To 15 Ch Or Of Ignatia 9 To 15 Ch Can Be Taken Alternatively Or Separately Depending On The Patients Choice.  In The Event Of Aggression Resulting In Excitement And Behavior Disorders  Take 5 Granules Of Chamomilla Vulgaris 15 Ch During 15 Days.  In Case The State Does Not Improve  The Treatment Is To Be Continued With 5 Granules Of Chamomilla Vulgaris  1 Day Of 2 During One Month. ,For Calming Down Nerves And An Agressive Irritability It Is Recommended To Take 5 Granules Of Nux Vomica 15 Or 30 Ch According To The Crisis Intensity. During The First Days When The Signs Of Irritability Are Very Severe The Medicines Must Be Taken At Least 3 Times Per Day And May Be Spaced As Soon As An Improvement Is Felt. This Remedy Is Particularly Effective For Subjects Intending To Stop Consuming Coffee Tobacco Or Alcohol. For Calming The Mood Swings And Irritability 5 Granules Of Actea Racemosa 5 To 15 Ch Or Of Ignatia 9 To 15 Ch Can Be Taken Alternatively Or Separately Depending On The Patients Choice. In The Event Of Aggression Resulting In Excitement And Behavior Disorders Take 5 Granules Of Chamomilla Vulgaris 15 Ch During 15 Days. In Case The State Does Not Improve The Treatment Is To Be Continued With 5 Granules Of Chamomilla Vulgaris 1 Day Of 2 During One Month.
ITCHES-SCABIES," KALI MURIATICUM 3X , NATRUM MURIATICUM 3X ,  KALI SULPHURICUM 3X  , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X  , SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2","CALCARIA FLOURIDE 3X , CALCAREA PHOSPHORICA 3X ,  CALCAREA PHOSPHORICA 12X ,  KALI  PHOSPHORICA 3X , KALI SULPHURICUM 3X MIX AND TAKE. ",," KALI MURIATICUM 3X , NATRUM MURIATICUM 3X ,  KALI SULPHURICUM 3X  , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X  , SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 , CALCARIA FLOURIDE 3X , CALCAREA PHOSPHORICA 3X ,  CALCAREA PHOSPHORICA 12X ,  KALI  PHOSPHORICA 3X , KALI SULPHURICUM 3X MIX AND TAKE.  , ",Itches-Scabies," Kali Muriaticum 3X , Natrum Muriaticum 3X ,  Kali Sulphuricum 3X  , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X  , Silicea 12X Mix And Take If Remedy Fails Try Remedy 2 , Calcaria Flouride 3X , Calcarea Phosphorica 3X ,  Calcarea Phosphorica 12X ,  Kali  Phosphorica 3X , Kali Sulphuricum 3X Mix And Take.  , ","Kali Muriaticum 3X , Natrum Muriaticum 3X , Kali Sulphuricum 3X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take If Remedy Fails Try Remedy 2 , Calcaria Flouride 3X , Calcarea Phosphorica 3X , Calcarea Phosphorica 12X , Kali Phosphorica 3X , Kali Sulphuricum 3X Mix And Take. ,"
ITCHING,,,,According to placement - 3 granules 3 times per day.  Scrotum- Croton 5CH  Genital itching - Caladium 7CH in the morning  causticum 5CH in the evening  Palms - Anagallis 7CH  Back of the hands - Mezereum 5CH  Fingers - Selenium 5CH Anus - Teucrium Marum 7CH.  According to the origin - Nervous itching - Ignatia 7CH alternated with Ambra Grisea 5CH Allergic itching - Serum equi 5CH.  Due to worms - Cina 7CH According to symptoms - Worsened by alcohol - Chloralium 7CH  by heat - Dolichos Pruriens 7CH  by wool - Psorinum 7CH  by scraping - Mezereum 5CH  by undressing or by open air - Rumex Crispus 7CH.  Improved by scraping - Rhus Tox 9CH  by cold water - Fagopyrum 7CH  by heat- Arsenicum album 7CH  by cold - Sulfur 7CH,Itching,According To Placement - 3 Granules 3 Times Per Day.  Scrotum- Croton 5Ch  Genital Itching - Caladium 7Ch In The Morning  Causticum 5Ch In The Evening  Palms - Anagallis 7Ch  Back Of The Hands - Mezereum 5Ch  Fingers - Selenium 5Ch Anus - Teucrium Marum 7Ch.  According To The Origin - Nervous Itching - Ignatia 7Ch Alternated With Ambra Grisea 5Ch Allergic Itching - Serum Equi 5Ch.  Due To Worms - Cina 7Ch According To Symptoms - Worsened By Alcohol - Chloralium 7Ch  By Heat - Dolichos Pruriens 7Ch  By Wool - Psorinum 7Ch  By Scraping - Mezereum 5Ch  By Undressing Or By Open Air - Rumex Crispus 7Ch.  Improved By Scraping - Rhus Tox 9Ch  By Cold Water - Fagopyrum 7Ch  By Heat- Arsenicum Album 7Ch  By Cold - Sulfur 7Ch,According To Placement - 3 Granules 3 Times Per Day. Scrotum- Croton 5Ch Genital Itching - Caladium 7Ch In The Morning Causticum 5Ch In The Evening Palms - Anagallis 7Ch Back Of The Hands - Mezereum 5Ch Fingers - Selenium 5Ch Anus - Teucrium Marum 7Ch. According To The Origin - Nervous Itching - Ignatia 7Ch Alternated With Ambra Grisea 5Ch Allergic Itching - Serum Equi 5Ch. Due To Worms - Cina 7Ch According To Symptoms - Worsened By Alcohol - Chloralium 7Ch By Heat - Dolichos Pruriens 7Ch By Wool - Psorinum 7Ch By Scraping - Mezereum 5Ch By Undressing Or By Open Air - Rumex Crispus 7Ch. Improved By Scraping - Rhus Tox 9Ch By Cold Water - Fagopyrum 7Ch By Heat- Arsenicum Album 7Ch By Cold - Sulfur 7Ch
JAUNDICE,"FERRUM PHOSPHORICUM 12X ,  KALI MURIATICUM 3X , KALI  PHOSPHORICA 3X , KALI SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM SULPHURICUM 3X MIX AND TAKE. ",,,"FERRUM PHOSPHORICUM 12X ,  KALI MURIATICUM 3X , KALI  PHOSPHORICA 3X , KALI SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM SULPHURICUM 3X MIX AND TAKE. ",Jaundice,"Ferrum Phosphoricum 12X ,  Kali Muriaticum 3X , Kali  Phosphorica 3X , Kali Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Sulphuricum 3X Mix And Take. ","Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Phosphorica 3X , Kali Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Sulphuricum 3X Mix And Take."
JUVENILE ACNE,,,,"3 granules 3 times per day.  For blackheads - Selenium 5CH.   For pustules - Kalium Bromatum 7CH.   For violent scars - Antimonium Tartaricum 9CH  Every Sunday ,  at wake-up ,  10 granules alternatively -Staphylococcinum 9CH ,  Thuya 9CH ,  Graphites 9CH. ",Juvenile Acne,"3 Granules 3 Times Per Day.  For Blackheads - Selenium 5Ch.   For Pustules - Kalium Bromatum 7Ch.   For Violent Scars - Antimonium Tartaricum 9Ch  Every Sunday ,  At Wake-Up ,  10 Granules Alternatively -Staphylococcinum 9Ch ,  Thuya 9Ch ,  Graphites 9Ch. ","3 Granules 3 Times Per Day. For Blackheads - Selenium 5Ch. For Pustules - Kalium Bromatum 7Ch. For Violent Scars - Antimonium Tartaricum 9Ch Every Sunday , At Wake-Up , 10 Granules Alternatively -Staphylococcinum 9Ch , Thuya 9Ch , Graphites 9Ch."
KIDNEY STONE,,,,Hepatic colic (biliary tract spasms)Berberis Vulgaris 5CH  Calcarea Carbonicum 5CH  Magnesia Phos.  9CH alternatively 3 granules  every quarter of an hour. Nephritic colic (spasms of the urinary tract). Put in a bottle slightly mineralized water -Belladonna 5CH  Berberis Vulgaris 5CH  Lycopodium 5CH  Pareira Brava 5CH.  Drink during daytime. ,Kidney Stone,Hepatic Colic (Biliary Tract Spasms)Berberis Vulgaris 5Ch  Calcarea Carbonicum 5Ch  Magnesia Phos.  9Ch Alternatively 3 Granules  Every Quarter Of An Hour. Nephritic Colic (Spasms Of The Urinary Tract). Put In A Bottle Slightly Mineralized Water -Belladonna 5Ch  Berberis Vulgaris 5Ch  Lycopodium 5Ch  Pareira Brava 5Ch.  Drink During Daytime. ,Hepatic Colic (Biliary Tract Spasms)Berberis Vulgaris 5Ch Calcarea Carbonicum 5Ch Magnesia Phos. 9Ch Alternatively 3 Granules Every Quarter Of An Hour. Nephritic Colic (Spasms Of The Urinary Tract). Put In A Bottle Slightly Mineralized Water -Belladonna 5Ch Berberis Vulgaris 5Ch Lycopodium 5Ch Pareira Brava 5Ch. Drink During Daytime.
LARYNGITIS,,,,In case a laryngitis  accompanied by a red and dry throat  suddenly occurs  but you do not want to have water or any other liquids  try one dose of Belladone 30 CH every two hours  and in case in two days time your state is not improved  or in case you notice white spots in the back of your throat  search your doctor or your homeopath. ,Laryngitis,In Case A Laryngitis  Accompanied By A Red And Dry Throat  Suddenly Occurs  But You Do Not Want To Have Water Or Any Other Liquids  Try One Dose Of Belladone 30 Ch Every Two Hours  And In Case In Two Days Time Your State Is Not Improved  Or In Case You Notice White Spots In The Back Of Your Throat  Search Your Doctor Or Your Homeopath. ,In Case A Laryngitis Accompanied By A Red And Dry Throat Suddenly Occurs But You Do Not Want To Have Water Or Any Other Liquids Try One Dose Of Belladone 30 Ch Every Two Hours And In Case In Two Days Time Your State Is Not Improved Or In Case You Notice White Spots In The Back Of Your Throat Search Your Doctor Or Your Homeopath.
LEUCODERMA,"CALCARIA PHOSPHORICA 12X , NATRUM MURIATICUM 12X MIX IN WATER AND  TAKE AND ALSO MIX IN OIL AND APPLY ON AFFECTED AREA 3-4 TIMES A DAY. ",,,"CALCARIA PHOSPHORICA 12X , NATRUM MURIATICUM 12X MIX IN WATER AND  TAKE AND ALSO MIX IN OIL AND APPLY ON AFFECTED AREA 3-4 TIMES A DAY. ",Leukoderma,"Calcaria Phosphorica 12X , Natrum Muriaticum 12X Mix In Water And  Take And Also Mix In Oil And Apply On Affected Area 3-4 Times A Day. ","Calcaria Phosphorica 12X , Natrum Muriaticum 12X Mix In Water And Take And Also Mix In Oil And Apply On Affected Area 3-4 Times A Day."
LEUCORRHOEA,,"CALCARIA PHOSPHORICA 12X , KALI  PHOSPHORICA 12X , KALI SULPHURICUM 12X ,  KALI MURIATICUM 12X , NATRUM MURIATICUM 12X , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X MIX AND  TAKE2 TIMES A DAY FOR 1-2 WEEKS IF REMEDY FAILS TRY REMEDY 3"," CALCAREA SULPHURICUM 12X , CALCARIA FLOURIDE 12X , FERRUM PHOSPHORICUM 12X , MAGNESIA PHOSPHORICA 12X MIX AND 2 TIMES A DAY FOR 1-2 WEEKS"," , CALCARIA PHOSPHORICA 12X , KALI  PHOSPHORICA 12X , KALI SULPHURICUM 12X ,  KALI MURIATICUM 12X , NATRUM MURIATICUM 12X , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X MIX AND  TAKE2 TIMES A DAY FOR 1-2 WEEKS IF REMEDY FAILS TRY REMEDY 3 ,  CALCAREA SULPHURICUM 12X , CALCARIA FLOURIDE 12X , FERRUM PHOSPHORICUM 12X , MAGNESIA PHOSPHORICA 12X MIX AND 2 TIMES A DAY FOR 1-2 WEEKS",Leucorrhoea," , Calcaria Phosphorica 12X , Kali  Phosphorica 12X , Kali Sulphuricum 12X ,  Kali Muriaticum 12X , Natrum Muriaticum 12X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And  Take2 Times A Day For 1-2 Weeks If Remedy Fails Try Remedy 3 ,  Calcarea Sulphuricum 12X , Calcaria Flouride 12X , Ferrum Phosphoricum 12X , Magnesia Phosphorica 12X Mix And 2 Times A Day For 1-2 Weeks",", Calcaria Phosphorica 12X , Kali Phosphorica 12X , Kali Sulphuricum 12X , Kali Muriaticum 12X , Natrum Muriaticum 12X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take2 Times A Day For 1-2 Weeks If Remedy Fails Try Remedy 3 , Calcarea Sulphuricum 12X , Calcaria Flouride 12X , Ferrum Phosphoricum 12X , Magnesia Phosphorica 12X Mix And 2 Times A Day For 1-2 Weeks"
LIGHT INSOMNIA,,,,For relieving the small insomnia crisis  try to take one dose of 30 CH of one of the following medicines  one hour before going to sleep during 20 consecutive nights  doctor Andrew Lockie suggests to repeat the dose in case you wake up and have difficulties to fall asleep again.  In case you can not calm your mind after having received good or bad news  doctor Lockie suggests to take Coffea.  He recommends Pulsatilla in case you are agitated when going to sleep  in case you turn too hot or too cold  in case you lack thirst and your insomnia seems to become worse after eating a rich meal  Ignatia is an appropriate medicine.  In case you yawn a lot  but are able to fall asleep  if you fear not being able to sleep or have nightmares when you fall asleep.  In case you are anxious  worried or agitated  if you have bad dreams about fire or danger  and if you are still awake between midnight and two o\u2019clock in the morning  he suggests to try Arsenicum.  Lycopodium can relieve you in case you speak and laugh during your sleep  if you often wake up around 4 o\u2019clock in the morning and if your mind is usually very restless in bed. ,Light Insomnia,For Relieving The Small Insomnia Crisis  Try To Take One Dose Of 30 Ch Of One Of The Following Medicines  One Hour Before Going To Sleep During 20 Consecutive Nights  Doctor Andrew Lockie Suggests To Repeat The Dose In Case You Wake Up And Have Difficulties To Fall Asleep Again.  In Case You Can Not Calm Your Mind After Having Received Good Or Bad News  Doctor Lockie Suggests To Take Coffea.  He Recommends Pulsatilla In Case You Are Agitated When Going To Sleep  In Case You Turn Too Hot Or Too Cold  In Case You Lack Thirst And Your Insomnia Seems To Become Worse After Eating A Rich Meal  Ignatia Is An Appropriate Medicine.  In Case You Yawn A Lot  But Are Able To Fall Asleep  If You Fear Not Being Able To Sleep Or Have Nightmares When You Fall Asleep.  In Case You Are Anxious  Worried Or Agitated  If You Have Bad Dreams About Fire Or Danger  And If You Are Still Awake Between Midnight And Two O\U2019Clock In The Morning  He Suggests To Try Arsenicum.  Lycopodium Can Relieve You In Case You Speak And Laugh During Your Sleep  If You Often Wake Up Around 4 O\U2019Clock In The Morning And If Your Mind Is Usually Very Restless In Bed. ,For Relieving The Small Insomnia Crisis Try To Take One Dose Of 30 Ch Of One Of The Following Medicines One Hour Before Going To Sleep During 20 Consecutive Nights Doctor Andrew Lockie Suggests To Repeat The Dose In Case You Wake Up And Have Difficulties To Fall Asleep Again. In Case You Can Not Calm Your Mind After Having Received Good Or Bad News Doctor Lockie Suggests To Take Coffea. He Recommends Pulsatilla In Case You Are Agitated When Going To Sleep In Case You Turn Too Hot Or Too Cold In Case You Lack Thirst And Your Insomnia Seems To Become Worse After Eating A Rich Meal Ignatia Is An Appropriate Medicine. In Case You Yawn A Lot But Are Able To Fall Asleep If You Fear Not Being Able To Sleep Or Have Nightmares When You Fall Asleep. In Case You Are Anxious Worried Or Agitated If You Have Bad Dreams About Fire Or Danger And If You Are Still Awake Between Midnight And Two O\U2019Clock In The Morning He Suggests To Try Arsenicum. Lycopodium Can Relieve You In Case You Speak And Laugh During Your Sleep If You Often Wake Up Around 4 O\U2019Clock In The Morning And If Your Mind Is Usually Very Restless In Bed.
LIVER CRISIS,,,,Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of SEPIA OFFICINALIS 5 CH3 granules of NUX VOMICA 5 CH3 granules of CHELIDONIUM MAJUS 5 CH,Liver Crisis,Alternate The Following Granules 3 Times Per Day  Until Disappearance Of Symptoms3 Granules Of Sepia Officinalis 5 Ch3 Granules Of Nux Vomica 5 Ch3 Granules Of Chelidonium Majus 5 Ch,Alternate The Following Granules 3 Times Per Day Until Disappearance Of Symptoms3 Granules Of Sepia Officinalis 5 Ch3 Granules Of Nux Vomica 5 Ch3 Granules Of Chelidonium Majus 5 Ch
LIVER SLUGGISH,"KALI MURIATICUM 3X , NATRUM SULPHURICUM 3X  MIX AND  TAKE 2-3 TIMES A DAY IF REQUIRED THEN INCREASE ITS POTENCY BY 6X AND THEN 12X. ",,,"KALI MURIATICUM 3X , NATRUM SULPHURICUM 3X  MIX AND  TAKE 2-3 TIMES A DAY IF REQUIRED THEN INCREASE ITS POTENCY BY 6X AND THEN 12X. ",Liver Sluggish,"Kali Muriaticum 3X , Natrum Sulphuricum 3X  Mix And  Take 2-3 Times A Day If Required Then Increase Its Potency By 6X And Then 12X. ","Kali Muriaticum 3X , Natrum Sulphuricum 3X Mix And Take 2-3 Times A Day If Required Then Increase Its Potency By 6X And Then 12X."
LOSS OF APPETITE,,,,In the morning - Aceticum Acidum 5CH followed by China 5CHIn the evening - Nux Vomica 5CH 5 granules. ,Loss Of Appetite,In The Morning - Aceticum Acidum 5Ch Followed By China 5Chin The Evening - Nux Vomica 5Ch 5 Granules. ,In The Morning - Aceticum Acidum 5Ch Followed By China 5Chin The Evening - Nux Vomica 5Ch 5 Granules.
