English,Remedy_1,Remedy_2,Remedy_3,Remedy
IDIOCY,CALCARIA SULPHURICUM 3X CALCARIA FLOURIDE 3X SILICEA 12X NATRUM MURIATICUM 3X CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X MIX AND TAKE THIS IF REMEDY FAILS MANY A DAY AND ,,,CALCARIA SULPHURICUM 3X CALCARIA FLOURIDE 3X SILICEA 12X NATRUM MURIATICUM 3X CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X MIX AND TAKE THIS IF REMEDY FAILS MANY A DAY AND 
IMPETIGO,,,,Impetigo is a superficial bacterial skin infection  due to a streptococcus and\/or a staphylococcus. It is a self inoculated and not immunizing disease. Contrary to popular beliefs  impetigo does not occur due to a lack of hygiene.at wake-up  alternate Arum triphyllum 5CH and Mezereum 5CHat lunchtime : Graphites 5CH in the evening : alternate Antimonium Crudum 5CH and Petroleum 5CH 
IMPOTENCY,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI MURIATICUM 3X SILICEA 12X MIX AND TAKE 4-5TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,,,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI MURIATICUM 3X SILICEA 12X MIX AND TAKE 4-5TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 
IMPULSIVE AND PESSIMISTIC ANXIETY,,,,Most of the times  anxiety occurs at the prospect of an important event for the subject  such as a job interview or examination. In most of the cases  it is tinted with impulsive and restless behavior from the patient. The ideal homeopathic formula in this case is whether <n>Argentum nitricum  or Arsenicum album. In this type of case  homeopathy equally treats the physical signs of anxiety  such as diarrhea and dizziness and moral appeasement. In case the patient shows depression signs  such as discouragement  the homeopath will rather prescribe Psorium to ensure that the patient does not immerse himself in too much distress. Phosphoricum acidum will be prescribed for patients that present sweating in anxiety states.
INABILITY TO RETAIN UINE,MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X MIX AND TAKE \r\nIF THE CHILD HAS FEVER THEN TRY REMEDY 2,"FERRUM PHOSPHORICUM 12X ,KALI MURIATICUM 3X MIX IN WARM WATER",,"MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X MIX AND TAKE \r\nIF THE CHILD HAS FEVER THEN TRY REMEDY 2,FERRUM PHOSPHORICUM 12X ,KALI MURIATICUM 3X MIX IN WARM WATER,"
INDIGESTION,CALCARIA SULPHURICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE 4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,"CALCARIA SULPHURICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE 4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,"
INFANTS DIARRHEA,,,,"In case it is chronic : Mercurius sol 5CH.If not, call the pediatrician"
INFANTS HICCUP,,,,"Teucrium Marum 4CH, 5 granules in mineral water."
INFECTIOUS DISEASES,,,,In case of an infectious rhinitis  it is recommended to take 5 granules immediately after beggining to sneeze. In order to be efficient  the medication has to be repeated 1 hour later. For treating a patient with flu-like symptoms  it is prescribed to take 5 granules of Nux vomica 9 CH every 2 hours  especially if the flu manifests by a watery rhinorrhea.
INFLAMATORY ERUPTION OF ECZEMA,,,,"APIS 5CH : pink edema with stinging pains like needles, improved by cold water. BELLADONNA 5CH : red shiny skin aspect, with pulses on the spots that are warm at contact, as if they radiate heat. CANTHARIS 5CH : skin inflammation with formation of vesicles containing liquid, itching and burns improved by cold. RHUX TOXICODENDRON 5CH : dark red skin with significant itching, not improved by scraping but by very hot water compresses, with small white burning vesicles quickly appearing."
INJURIES MECHANICAL,"CALCARIA FLOURIDE 3X,CALCAREA PHOSPHORICA 3X OR 12X,FERRUM PHOSPHORICUM 12X, KALI MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 2-2 HOURSIF REMEDY FAILS TRY REMEDY 2",,,"CALCARIA FLOURIDE 3X,CALCAREA PHOSPHORICA 3X OR 12X,FERRUM PHOSPHORICUM 12X, KALI MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 2-2 HOURSIF REMEDY FAILS TRY REMEDY 2"
INJURIES OF THE BONES-FRACTURES,"CALCARIA FLOURIDE 3X,CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE.",,,"CALCARIA FLOURIDE 3X,CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE."
INJURIES OF THE HEAD,"ONLY NATRUM SULPHURICUM 3X ORCALCAREA PHOSPHORICA 3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE.",,,"ONLY NATRUM SULPHURICUM 3X ORCALCAREA PHOSPHORICA 3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE."
INSANITY-MADNESS,KALI PHOSPHORICUM 30X,,,KALI PHOSPHORICUM 30X
INSECT BITE,,,,"Take immediately after the bite : Apis mellifica 15 CH : 5 granules every 10 minutes during the first half an hour, then hourly thereafter. The next days, only take 5 granules 3 times a day until dissapearance of itching. Apis mellifica can also be used with Ledum palustre 5 CH.In case of a bite that begins to infect :Take Tarentula cubensis 9 CH associated with Calendula officinalis 5 CH (used as anti-inflammatory and healing) : 5 granules every morning and every evening during 1 week.Then, give remedy of 'hives' symptomatology."
INSECTBITES,NATRUM MURIATICUM 3X  MIX IN WATER AND GIVE.,,,NATRUM MURIATICUM 3X  MIX IN WATER AND GIVE.
INSOMNIA,,,,To adults : Take  as appropriate  5 granules at bedtime. Insomnia after feeling of fear : Aconit 9CH. During menstruation : Actea Racemosa 7CH. Anxious agitation: Arsenicum Album 9CH.  By frightening visions : Belladonna 7CH. Intestinal worms: Cina 5CH. A great sorrow: Gelsemium sempervirens 9 CH.Nightmares : one dose of Stramonium 15 CH.Fear of death : Aconitum napellus 9 CHIn the mountains: Coca 7CH. Following long nights Cocculus indicus 7CH.Woken up by small worries : Ambra grisea 9 CHBy abundance of ideas : Coffea 7CH. Very agitated sleep  Causticum 9CH before falling asleep.After an excess of coffee: Coffea 9CH. After bad news : Gelsemium 15CH. After annoyance : Ignatia 9CH. After intellectual overwork : Kalium Phosphoricum 9CH. Because of digestive cramps : Nux Vomica 5CH before meals. After an alcohol or food excess : Nux Vomica 7CH. By physical exhaustion : Rhus Toxicodendron 9CH ou Kalium phosphoricum 9 CH. By black fear : Stramonium 7CH. By intolerance to the slightest noise: Theridion 9CH. With annoyed legs : Zincum Metallicum 9CH.
INSOMNIA OF CHILDREN,,,,"For a baby that easily wakes up at night because of small noises, it is recommended the administration of 3 granules of  Sulfur 7 CH. In case the baby has nightmares, you can give him a dose of Stramonium 7 CH just before going to sleep. In case he is agitated and cries, you will have to give him 3 granules of Jalapa 7 CH, before he goes to sleep. In case the baby needs feeding for falling asleep, 3 granules of Chamomilla vulgaris 7 CH are reccomended. For infants with difficulties to fall asleep, you can alternate two remedies (1 per day) : Chamomilla vulgaris 7 CH and Cypripedium Pubescens 7 CH."
INTELLECTUAL EXHAUSTION,,,,In case of memory decline observed after intellectual efforts  often accompanied by behavioral problems and a concentrating difficulty  you can take 3 granules of Phosphoric acid 5 CH  to suck two times a day. If the memory decline is characterized by an incapacity for intellectual effort and by forgetting recent facts  you can take two times per week 3 granules of one of the following remedies  each medication time: Kalium brom 9 CH  Kalium phos 9 CH  Lycopodium 9 CH or Anacardium 9 CH.
INTELLECTUAL OVERWORK,,,,When tiredness is manifested by symptoms of brain overwork  such as stress  anxiety and depression  it is often indicated to take a daily dose of Phosphoricum acidium or of Kalium phosphoricum of 9 to 15 CH. In case the tiredness is accompanied by a decrease of libido and by a desire of resorting to psychotropic drugs  one dose of Selenium 7 CH is recommended one time per day.In case of brain tiredness characterized by erectile dysfunctions  it is prescribed to complete the treatment by one or two daily medications of Agnus castus 9 CH.
INTESTINAL WORMS,,,,"5 granules of CINA 9CH, 3 times per day during 10 days"
INTOLERANCE TO MILK,,,,"Cuprum Metallicum 5 CH + Aethusa Cynapium 5 CH.<br/> 2 granules, 3 times per day, until symptoms dissapear."
INVOLUNTARY MOVEMENTS,,,,Motor tics mainly manifest by unconscious movements. Thus  the most used remedies are Lycopodium  China et Zincum. If tics are characterized by to and fro head movements  it can be prescribed Sepia. In case of worsening due to anxiety  a treatment based on Gelsium is recommended. Finally  when the tic is accompanied by a hysterical crisis  it can be relieved with doses of Staphysagria.
IRRITABILITY AND EXCITEMENT,,,,For calming down nerves and an agressive irritability  it is recommended to take 5 granules of Nux Vomica 15 or 30 CH according to the crisis intensity. During the first days when the signs of irritability are very severe  the medicines must be taken at least 3 times per day and may be spaced as soon as an improvement is felt.This remedy is particularly effective for subjects intending to stop consuming coffee  tobacco or alcohol. For calming the mood swings and irritability  5 granules of Actea Racemosa 5 to 15 CH or of Ignatia 9 to 15 CH can be taken alternatively or separately depending on the patients choice. In the event of aggression resulting in excitement and behavior disorders  take 5 granules of Chamomilla Vulgaris 15 CH during 15 days. In case the state does not improve  the treatment is to be continued with 5 granules of Chamomilla Vulgaris  1 day of 2 during one month.
ITCHES-SCABIES," KALI MURIATICUM 3X,NATRUM MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X ,SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2","CALCARIA FLOURIDE 3X,CALCAREA PHOSPHORICA 3X, CALCAREA PHOSPHORICA 12X, KALI  PHOSPHORICA 3X,KALI SULPHURICUM 3X MIX AND TAKE.",," KALI MURIATICUM 3X,NATRUM MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X ,SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2,CALCARIA FLOURIDE 3X,CALCAREA PHOSPHORICA 3X, CALCAREA PHOSPHORICA 12X, KALI  PHOSPHORICA 3X,KALI SULPHURICUM 3X MIX AND TAKE.,"
ITCHING,,,,According to placement : 3 granules 3 times per day. Scrotum: Croton 5CH  Genital itching : Caladium 7CH in the morning  causticum 5CH in the evening  Palms : Anagallis 7CH  Back of the hands : Mezereum 5CH  Fingers : Selenium 5CH Anus : Teucrium Marum 7CH. According to the origin : Nervous itching : Ignatia 7CH alternated with Ambra Grisea 5CH Allergic itching : Serum equi 5CH. Due to worms : Cina 7CH According to symptoms : Worsened by alcohol : Chloralium 7CH  by heat : Dolichos Pruriens 7CH  by wool : Psorinum 7CH  by scraping : Mezereum 5CH  by undressing or by open air : Rumex Crispus 7CH. Improved by scraping : Rhus Tox 9CH  by cold water : Fagopyrum 7CH  by heat: Arsenicum album 7CH  by cold : Sulfur 7CH
JAUNDICE,"FERRUM PHOSPHORICUM 12X, KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE.",,,"FERRUM PHOSPHORICUM 12X, KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE."
JUVENILE ACNE,,,,"3 granules 3 times per day. For blackheads : Selenium 5CH.  For pustules : Kalium Bromatum 7CH.  For violent scars : Antimonium Tartaricum 9CH  Every Sunday, at wake-up, 10 granules alternatively :Staphylococcinum 9CH, Thuya 9CH, Graphites 9CH."
KIDNEY STONE,,,,Hepatic colic (biliary tract spasms)Berberis Vulgaris 5CH  Calcarea Carbonicum 5CH  Magnesia Phos. 9CH alternatively 3 granules  every quarter of an hour.Nephritic colic (spasms of the urinary tract).Put in a bottle slightly mineralized water :Belladonna 5CH  Berberis Vulgaris 5CH  Lycopodium 5CH  Pareira Brava 5CH. Drink during daytime.
LARYNGITIS,,,,In case a laryngitis  accompanied by a red and dry throat  suddenly occurs  but you do not want to have water or any other liquids  try one dose of Belladone 30 CH every two hours  and in case in two days time your state is not improved  or in case you notice white spots in the back of your throat  search your doctor or your homeopath.
LEUCODERMA,"CALCARIA PHOSPHORICA 12X,NATRUM MURIATICUM 12X MIX IN WATER AND  TAKE AND ALSO MIX IN OIL AND APPLY ON AFFECTED AREA 3-4 TIMES A DAY.",,,"CALCARIA PHOSPHORICA 12X,NATRUM MURIATICUM 12X MIX IN WATER AND  TAKE AND ALSO MIX IN OIL AND APPLY ON AFFECTED AREA 3-4 TIMES A DAY."
LEUCORRHOEA,,"CALCARIA PHOSPHORICA 12X,KALI  PHOSPHORICA 12X,KALI SULPHURICUM 12X, KALI MURIATICUM 12X,NATRUM MURIATICUM 12X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND  TAKE2 TIMES A DAY FOR 1-2 WEEKS IF REMEDY FAILS TRY REMEDY 3"," CALCAREA SULPHURICUM 12X,CALCARIA FLOURIDE 12X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 12X MIX AND 2 TIMES A DAY FOR 1-2 WEEKS",",CALCARIA PHOSPHORICA 12X,KALI  PHOSPHORICA 12X,KALI SULPHURICUM 12X, KALI MURIATICUM 12X,NATRUM MURIATICUM 12X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND  TAKE2 TIMES A DAY FOR 1-2 WEEKS IF REMEDY FAILS TRY REMEDY 3, CALCAREA SULPHURICUM 12X,CALCARIA FLOURIDE 12X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 12X MIX AND 2 TIMES A DAY FOR 1-2 WEEKS"
LIGHT INSOMNIA,,,,For relieving the small insomnia crisis  try to take one dose of 30 CH of one of the following medicines  one hour before going to sleep during 20 consecutive nights  doctor Andrew Lockie suggests to repeat the dose in case you wake up and have difficulties to fall asleep again. In case you can not calm your mind after having received good or bad news  doctor Lockie suggests to take Coffea. He recommends Pulsatilla in case you are agitated when going to sleep  in case you turn too hot or too cold  in case you lack thirst and your insomnia seems to become worse after eating a rich meal  Ignatia is an appropriate medicine. In case you yawn a lot  but are able to fall asleep  if you fear not being able to sleep or have nightmares when you fall asleep. In case you are anxious  worried or agitated  if you have bad dreams about fire or danger  and if you are still awake between midnight and two o\u2019clock in the morning  he suggests to try Arsenicum. Lycopodium can relieve you in case you speak and laugh during your sleep  if you often wake up around 4 o\u2019clock in the morning and if your mind is usually very restless in bed.
LIVER CRISIS,,,,Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of SEPIA OFFICINALIS 5 CH3 granules of NUX VOMICA 5 CH3 granules of CHELIDONIUM MAJUS 5 CH
LIVER SLUGGISH,"KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X  MIX AND  TAKE 2-3 TIMES A DAY IF REQUIRED THEN INCREASE ITS POTENCY BY 6X AND THEN 12X.",,,"KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X  MIX AND  TAKE 2-3 TIMES A DAY IF REQUIRED THEN INCREASE ITS POTENCY BY 6X AND THEN 12X."
LOSS OF APPETITE,,,,In the morning : Aceticum Acidum 5CH followed by China 5CHIn the evening : Nux Vomica 5CH 5 granules.
LOSS OF APPETITE,,,,In the morning : Aceticum Acidum 5CH followed by China 5CH In the evening : Nux Vomica 5CH 5 granules.
MARASMUS,"CALCARIA PHOSPHORICA  3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE .",,,"CALCARIA PHOSPHORICA  3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE ."
MASTITIS (SWOLLEN BREASTS),,,,"LAC CANINUM 5CH associated with PHYTOLACCA 5CH: 10 granules of each in a small quantity of water more times a day, until dissapearance."
MEASLES,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X CALCAREA PHOSPHORICA 3X SILICEA 12X ARSENICUM ALBUM 6 PULSATILLA 6 MIX AND GIVE AFTER 3-4 HOURS,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X CALCAREA PHOSPHORICA 3X SILICEA 12X ARSENICUM ALBUM 6 PULSATILLA 6 MIX AND GIVE AFTER 3-4 HOURS
MEMORY DECREASE,,,,In case of memory decrease noticed after intellectual efforts  often accompanied by behavior disorders and a concentrating difficulty  you can take 3 granules of Phosphoric acid 5 CH  to suck  two times per day. In case the memory decrease is characterized by inability to make an intellectual effort and forgetfulness of recent events  you can take  2 times per week  3 granules of one of the following remedies  each medication time : Kalium brom 9 CH  Kalium phos 9 CH  Lycopodium 9 CH or Anacardium 9 CH.
MENINGITS,"CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE MANY TIMES A DAY.",,,"CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE MANY TIMES A DAY."
MENOPAUSE,,,, If the goal is to alleviate hot flashes due to menopause  it is prescribed to take Ignatia Amara 9 CH in an amount of 3 granules per day during the first 3 months  then pass to 5 CH during the next months. For solving grinding problems  it is prescribed to take 2 granules of Ignatia Amara 7 CH 3 times per day.
MENSES SCANTY OR SUPPRESSED,"CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX AND TAKE 3 TIMES FOR A WEEK.",,,"CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX AND TAKE 3 TIMES FOR A WEEK."
MENSTRUATION DISORDERS,,,,Sensation of heaviness backwards : Belladona 7CH. Pains aggravated by shaking : Belladona 7CH. Pains in the right ovary  Belladona 7CH. Pains in the left ovary : Lachesis 7CH. Pains irradiating in all directions : Caulophyllum 7CH. Intolerable pains : Chamomilla 9CH.  Pains in the thighs  sacrum and pubis : Sabina 7CH. In the back : Senecio 9CH. With cold sweats : Veratrum Album 9CH. 
MENTAL ANXIETY,,,,In a background treatment  without physical symptoms  it is prescribed Gelsenium 9 CH or Aconit 7 CH. Ignatia Amara in the event of anxiety caused by grief or annoyance. For treating anxiety caused by an excessive shyness  it is suitable to take Ambra Grisea 15 CH.Arsenicum Album 15 CH is  in his opinion  recommended for subjects of pessimistic nature with fear of an upcoming event and for those who fear night and solitude. Borax is indicated for naturally anxious people who are particularly afraid of descents and stairs. To help women reduce their fear during pregnancy and during childbirth  Actaea Racemosa is recommended.
MILK CRUSTS,,,,"Yellowish, thick crusts localized in the scalp or the eyebrows.Chalcarea Carbonica 9CHHepar Sulfuris Calcareum 9 CHGive 3 granules of each medicine, crushed in a clean cloth with a rolling pin, and put  the obtained powder on the the baby\u2019s tongue, 3 times per day (in the morning, at lunchtime and in the evening), until healing. Red buttocksThe buttocks and the folds of the groin are red. The skin may be cracked and oozing.Belladonna 9 CHHepar Sulfuris Calcareum 9 CHMeddorrhinum 9 CHGive 3 granules of each medicine, crushed in a clean cloth with a rolling pin, and put  the obtained powder on the baby\u2019s tongue, 3 times per day (in the morning, at lunchtime and in the evening), until healing."
MISCHIEVOUSNESS,NATRUM MURIATICUM 200X ONE TABLET FOR A WEEK AT 6:00 P.M.,,,NATRUM MURIATICUM 200X ONE TABLET FOR A WEEK AT 6:00 P.M.
MOTHER'S MILK TO DECREASE,CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 
MOTION SICKNESS,,,,Need of air : Tabacum 5CH  one granule hourly during the travelDizziness or vomiting : Cocculus 5CH  one granule hourly during the travelSea sick : Ignatia 9CH  one dose  4 days before leaving
MOUTH ULCER,,,,"Children sometimes have painful thrush. They have to take Borax 5CH in an amount of 2 granules, 3 times per day, until symptoms dissapear."
MUCOPURULENT NOSE FLOW,,,,"NATRUM MURIATICUM 5CH : nose flow and tearing as the egg white, asthma after physical effort or when the child plays a lot. PULSATILLA 5CH : non-irritating, yellowish, thick nose flow with the lost of taste and odor, aggravated within warm rooms and improved in open air. MERCURIUS SOLUBILIS 5CH : irritating, smelly, yellow-green nose flow, with white tongue keeping the teeth mark, with tendency towards repeated ENT disorders. KALIUM BICHROMICUM 5CH : irritating greenish nose flow, dripping, with formation of plugs, green brown crusts in the nose, sometimes with bloody drippings and sinuses pains. HYDRASTIS CANADENSIS 5CH : yellowish thick mucus, very adherent, forming plugs with flow through posterior nose pits. ARUM TRIPHYLLUM 5CH : fluent coryza with nose flow excoriating nostrils and the upper lip, the child constantly scratching the nose interior."
MUMPS,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 12X,SILICEA 12X MIX AND TAKE  AFTER 2-3 HOURS IF REMEDY FAILS TRY REMEDY 2.","CALCARIA SULPHURICUM 3X ,KALI SULPHURICUM 3X MIX AND TAKE.",,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 12X,SILICEA 12X MIX AND TAKE  AFTER 2-3 HOURS IF REMEDY FAILS TRY REMEDY 2.,CALCARIA SULPHURICUM 3X ,KALI SULPHURICUM 3X MIX AND TAKE.,"
MUMPS,,,,"3 granules hourly, alternatively : Mercurius Solubilis 5 CH, Belladonna 5CH. On Sunday evening, Pulsatilla 9CH 10 granules (avoide complications).Invasion period : Ferrum phosphoricum 9CH, 1 dose  Affection : Mercurius solubilis 7CH, 5 granules, 2 times per day  Complications : Pulsatilla 15CH 5 granules, 3 times per day. During convalescence : 1 dose of Sulfur 9CH to purify toxins. As a precaution in case of epidemic : 3 granules at wake-up Jaborandi 5CH. 3 granules at bedtime : Trifolium pratense 5CH."
MYCOSIS,,,,Mycosis are diseases caused by fungi.3 granules of each 2 times per day. At sunrise : Arsenicum iodatum 5CH  Sepia 5CH At bedtime : Kali Bich. 5CH  Mucor Mucedo 7CH.
NASAL OBSTRUCTION,,,,"AMMONIUM CARBONICUM 5CH : obstruction with considerable discomfort worsened at night, improved with head tilted back and lying on the stomach. NUX VOMICA 5CH : stuffy nose at night, sneezing and flow during daytime, worsened within warm rooms, improved in fresh air. SAMBUCUS NIGRA 5CH : dry and stuffy nose during night and day ; breathing difficulties with suffocation, sometimes very severe, waking the baby up towards midnight ; need to be raised, can not remain with head down ; swallowing difficulties with frequent stops and pitfalls TEUCRIUM MARUM 5CH: nasal obstruction and coryza at night in an irritable, agitated baby, frequent hiccups"
NAUSEA AND VOMITING,,,,If you feel nauseous without knowing the reason  try at first one dose of Ipecacuanba of 6 CH every 15 minutes until you begin to feel better  without exceeding four doses  prevents doctor Panos.
NEONATAL ACNE,,,,"BROMIUM 5CH : in case the skin is thin and dry GRAPHITES 5CH : in case the skin is thick, pale, with a tendency to bleed. KALIUM BROMATUM 5CH : many large elements "
NEPHRITIS,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS IF REMEDY FAILS TRY REMEDY 2.","CALCARIA SULPHURICUM 3X ,KALI SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X MIX AND TAKE.",,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS IF REMEDY FAILS TRY REMEDY 2.,CALCARIA SULPHURICUM 3X ,KALI SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X MIX AND TAKE.,"
NERVOUS DEPRESSION,,,,Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of IGNATIA MONTANA 9 CH3 granules of ARNICA MONTANA 9 CH3 granules of PHOSPHORICUM ACIDUM 9 CH
NERVOUS TICS,,,,Tics are repetitive and uncontrollable muscle spasms. Zincum M\u00e9tallicum is proposed as a treatment according to the onset date of tics  but also according to their frequence and psychological state  that influences their manifestation. Tics can occur from an early age  around 5 or 7 years old  and can become more an more frequent with our ageing. It happens  however  that they disappear in adolescence. The homeopathic treatment based on Zincum m\u00e9tallicum 9 CH can be used as a steady treatment for rare tics and in background treatment in case tics worsen over time. It should nevertheless be long-term treated with Zincum m\u00e9tallicum to ensure maximum efficiency 
NEURALGIA,"FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,MAGNESIA PHOSPHORICA 3X MIX IN VERY HOT WATER AND TAKE IF REMEDY FAILS TRY REMEDY 2.","CALCARIA FLOURIDE 12X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X ,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE.",,"FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,MAGNESIA PHOSPHORICA 3X MIX IN VERY HOT WATER AND TAKE IF REMEDY FAILS TRY REMEDY 2.,CALCARIA FLOURIDE 12X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X ,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE.,"
